,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover
7637,IF2104.CFX,20210329,5016.4,5025.4,5026.4,5054.8,4986.0,5012.0,5015.6,-13.4,-9.8,97009.0,14618567.418,108490.0,-5993.0,IF,20210222,20210416,1.0,IFc1,
8141,IF2105.CFX,20210329,4993.0,5002.2,5011.2,5025.0,4961.0,4981.8,4988.0,-20.4,-14.2,2344.0,351275.00399999996,3498.0,565.0,IF,20210322,20210521,2.0,IFc2,
6344,IF2106.CFX,20210329,4953.0,4963.2,4960.0,4987.6,4922.0,4945.0,4949.4,-18.2,-13.8,20059.0,2983620.75,71608.0,-3612.0,IF,20201019,20210618,3.0,IFc3,
7638,IF2104.CFX,20210330,5012.0,5015.6,5015.8,5073.8,5002.2,5052.0,5050.8,36.4,35.2,91839.0,13898649.252,108712.0,222.0,IF,20210222,20210416,1.0,IFc1,
8142,IF2105.CFX,20210330,4981.8,4988.0,4980.6,5042.0,4975.8,5020.4,5018.6,32.4,30.6,1554.0,233823.546,3495.0,-3.0,IF,20210322,20210521,2.0,IFc2,
6345,IF2106.CFX,20210330,4945.0,4949.4,4945.4,5005.0,4936.8,4985.2,4983.4,35.8,34.0,19597.0,2927070.798,73490.0,1882.0,IF,20201019,20210618,3.0,IFc3,
7639,IF2104.CFX,20210331,5052.0,5050.8,5043.8,5046.8,4971.2,5017.2,5005.6,-33.6,-45.2,93216.0,13985575.674,106697.0,-2015.0,IF,20210222,20210416,1.0,IFc1,
8143,IF2105.CFX,20210331,5020.4,5018.6,5015.6,5016.6,4943.2,4988.0,4976.2,-30.6,-42.4,2438.0,363556.992,4284.0,789.0,IF,20210322,20210521,2.0,IFc2,
6346,IF2106.CFX,20210331,4985.2,4983.4,4977.0,4979.0,4906.0,4951.0,4940.0,-32.4,-43.4,19771.0,2927523.7139999997,71125.0,-2365.0,IF,20201019,20210618,3.0,IFc3,
7640,IF2104.CFX,20210401,5017.2,5005.6,5035.6,5102.0,5026.2,5093.6,5080.4,88.0,74.8,93055.0,14123668.83,105958.0,-739.0,IF,20210222,20210416,1.0,IFc1,
8144,IF2105.CFX,20210401,4988.0,4976.2,5002.2,5072.0,4996.0,5055.2,5048.6,79.0,72.4,2977.0,449217.69,5129.0,845.0,IF,20210322,20210521,2.0,IFc2,
6347,IF2106.CFX,20210401,4951.0,4940.0,4972.8,5035.0,4960.8,5022.6,5014.4,82.6,74.4,19655.0,2945441.5439999998,70602.0,-523.0,IF,20201019,20210618,3.0,IFc3,
7641,IF2104.CFX,20210402,5093.6,5080.4,5106.2,5146.6,5087.0,5140.8,5130.4,60.4,50.0,89971.0,13821905.646,104923.0,-1035.0,IF,20210222,20210416,1.0,IFc1,
8145,IF2105.CFX,20210402,5055.2,5048.6,5092.6,5116.4,5058.8,5110.0,5100.4,61.4,51.8,3449.0,526855.818,5870.0,741.0,IF,20210322,20210521,2.0,IFc2,
6348,IF2106.CFX,20210402,5022.6,5014.4,5033.0,5077.0,5020.6,5070.0,5058.8,55.6,44.4,20558.0,3115400.562,69839.0,-763.0,IF,20201019,20210618,3.0,IFc3,
7642,IF2104.CFX,20210406,5140.8,5130.4,5150.0,5160.2,5090.0,5101.0,5107.6,-29.4,-22.8,85118.0,13061602.68,100941.0,-3982.0,IF,20210222,20210416,1.0,IFc1,
8146,IF2105.CFX,20210406,5110.0,5100.4,5114.0,5129.2,5060.0,5071.8,5075.8,-28.6,-24.6,3835.0,584531.166,7292.0,1422.0,IF,20210322,20210521,2.0,IFc2,
6349,IF2106.CFX,20210406,5070.0,5058.8,5080.6,5089.0,5017.8,5028.6,5034.2,-30.2,-24.6,19241.0,2911436.796,70705.0,866.0,IF,20201019,20210618,3.0,IFc3,
7643,IF2104.CFX,20210407,5101.0,5107.6,5111.0,5117.8,5035.6,5068.0,5067.4,-39.6,-40.2,86396.0,13117508.64,104246.0,3305.0,IF,20210222,20210416,1.0,IFc1,
8147,IF2105.CFX,20210407,5071.8,5075.8,5085.8,5088.0,5005.0,5034.8,5032.8,-41.0,-43.0,3341.0,503838.21,8014.0,722.0,IF,20210322,20210521,2.0,IFc2,
6350,IF2106.CFX,20210407,5028.6,5034.2,5041.0,5044.8,4963.0,4995.0,4992.6,-39.2,-41.6,19188.0,2870699.088,71555.0,850.0,IF,20201019,20210618,3.0,IFc3,
7644,IF2104.CFX,20210408,5068.0,5067.4,5050.0,5103.0,5028.4,5087.8,5091.6,20.4,24.2,88682.0,13504048.2,100296.0,-3950.0,IF,20210222,20210416,1.0,IFc1,
8148,IF2105.CFX,20210408,5034.8,5032.8,5022.6,5061.6,4995.0,5043.8,5049.2,11.0,16.4,5488.0,829722.048,9924.0,1910.0,IF,20210322,20210521,2.0,IFc2,
6351,IF2106.CFX,20210408,4995.0,4992.6,4981.2,5019.8,4954.0,5002.4,5004.8,9.8,12.2,19047.0,2854919.898,70771.0,-784.0,IF,20201019,20210618,3.0,IFc3,
7645,IF2104.CFX,20210409,5087.8,5091.6,5075.0,5077.0,5004.6,5021.6,5023.0,-70.0,-68.6,88322.0,13332239.34,100118.0,-178.0,IF,20210222,20210416,1.0,IFc1,
8149,IF2105.CFX,20210409,5043.8,5049.2,5037.4,5037.4,4963.4,4980.8,4979.2,-68.4,-70.0,7353.0,1100409.102,13053.0,3129.0,IF,20210322,20210521,2.0,IFc2,
6352,IF2106.CFX,20210409,5002.4,5004.8,4995.2,4995.2,4920.4,4938.6,4938.4,-66.2,-66.4,20882.0,3099639.57,72768.0,1997.0,IF,20201019,20210618,3.0,IFc3,
7646,IF2104.CFX,20210412,5021.6,5023.0,5026.0,5040.6,4936.6,4952.2,4948.8,-70.8,-74.2,99659.0,14885457.894000001,94768.0,-5350.0,IF,20210222,20210416,1.0,IFc1,
8150,IF2105.CFX,20210412,4980.8,4979.2,4976.0,4998.0,4898.4,4912.8,4909.2,-66.4,-70.0,11657.0,1725511.1940000001,18536.0,5483.0,IF,20210322,20210521,2.0,IFc2,
6353,IF2106.CFX,20210412,4938.6,4938.4,4938.2,4956.0,4854.0,4866.0,4865.2,-72.4,-73.2,24991.0,3668237.712,75181.0,2413.0,IF,20201019,20210618,3.0,IFc3,
7647,IF2104.CFX,20210413,4952.2,4948.8,4966.2,4993.0,4930.0,4950.6,4941.2,1.8,-7.6,93314.0,13887103.5,81845.0,-12923.0,IF,20210222,20210416,1.0,IFc1,
